participant,expName,picname,key_resp_2.keys,key_resp_confi.keys,age,gender,Ext,Agr,Con,Neu,Ope,Valp,GazeGL,GazeFH,GazeEB,GazeEY,GazeNO,GazeMO,MouseGL,MouseFH,MouseEB,MouseEY,MouseNO,MouseMO
Subj1,inferExpPartS8,AgrM1.png,4,4,19,Male,4.5,5,4,2,6,1,0.00262802018863073,0,7.996988027393123e-5,6.887960330796067e-5,0.02003022360290372,0.00267517160026172,0,0,0,0,0,0
Subj1,inferExpPartS8,NeuM4.png,6,6,19,Male,4.5,5,4,2,6,1,0.00614433016944398,0.00262748406126514,0.00513280750956819,0.00644744288422146,3.533524550302138e-4,0,4.671243875698459e-4,6.883708691400913e-4,3.844416173977014e-4,0.00291274539128901,4.8179419771583065e-4,0
Subj1,inferExpPartS8,ExtF1.png,6,6,19,Male,4.5,5,4,2,6,1,0.01213377844810121,0.00278043231080197,0.01008901406241463,0.00211995226732435,0.00346326987300629,9.279026402766638e-6,0.00516291819613274,9.081079427938896e-4,0.00699544985247547,0.00221804623827854,8.405378333932302e-4,0.00172964329928043
Subj1,inferExpPartS8,AgrF1.png,6,6,19,Male,4.5,5,4,2,6,1,0.01307240882836714,0.00437314359338701,0.0073674213564906,0.00753228684005072,0.00266282763342445,0,0.00488423643123521,0.00306726109215271,0.00454916083791708,0.00113576094479773,0.00239628063098241,0
Subj1,inferExpPartS8,ExtM1.png,6,6,19,Male,4.5,5,4,2,6,1,0.00568146049415899,0.00513421411331035,0.00143854692996607,0.00777342021767402,0.00185127230190869,9.718655787847464e-4,0.00341511238544882,0.00351127986193868,0.00344811588276692,0.00746333995904469,4.5747212717706575e-5,0.00223549745295008
Subj1,inferExpPartS8,NeuM5.png,5,6,19,Male,4.5,5,4,2,6,1,0.03021955263476385,0.00386821529189233,0.00397945376328612,9.009667038997312e-5,0.00149876317968229,0.00186085234260715,0.0037244367159463,5.577634941712039e-4,0.00359439900671604,2.824376641986724e-4,9.724421036393313e-8,0.00116501487718133
Subj1,inferExpPartS8,OpeF4.png,3,5,19,Male,4.5,5,4,2,6,1,0.00906777664442663,0.00180005387351154,0.01105687581163214,1.9681350119947643e-4,0,0.00260812484068704,0.00162511471122002,6.071312702576457e-4,9.18282380200376e-4,5.00513902979566e-4,3.45978205215878e-6,0.00162696145026288
Subj1,inferExpPartS8,AgrF2.png,2,5,19,Male,4.5,5,4,2,6,1,2.1840486589509944e-5,0.00366030945734962,0.00217994312219206,0.01416410471035323,0.00668402956602747,0.00330816010733586,0,0.00104517781009449,3.509767351509844e-5,0.00193200082251111,8.689636339256896e-4,5.141816586206569e-9
Subj1,inferExpPartS8,NeuF5.png,2,6,19,Male,4.5,5,4,2,6,1,0.00262262929419713,0.00262217436122147,0.00269510587399693,0.00851724262356802,1.7467885195017094e-4,1.986191096654475e-5,0.00143706879848591,0.00294495791914625,4.7028507955622383e-4,0.00230951518249299,6.643309557307999e-8,8.838980414077215e-4
Subj1,inferExpPartS8,ConM3.png,2,6,19,Male,4.5,5,4,2,6,1,0.0039135835976269,0.00729325103824924,0.00469603817733367,6.456803969250045e-5,1.682349970210006e-7,2.851043335377499e-4,0.00155391635027527,0.00392980526419469,0.0031695696840966,0.00958008990122306,8.023961751666094e-5,2.784004961045005e-4
