Exp,AOI,Imp,Parameter,Estimate_Original,Rhat_Original,Estimate_Diffuse,Rhat_Diffuse
S8,GazeGL,Agr,Bernoulli Slope,-0.21354152186949968,1.010274378899743,-0.23559905972232464,1.0044077435173997
S8,GazeGL,Agr,Beta Slope,-0.3920287925522676,1.010274378899743,-0.39309133804137936,1.0044077435173997
S8,GazeGL,Neu,Bernoulli Slope,0.8853096619607282,1.004819892482656,0.8290750685043885,1.0051315842152662
S8,GazeGL,Neu,Beta Slope,-0.3999545380359931,1.004819892482656,-0.39790938857205993,1.0051315842152662
S8,GazeGL,Ext,Bernoulli Slope,-0.03707323588144058,1.0042333227148508,-0.10039854976490997,1.0046930316485698
S8,GazeGL,Ext,Beta Slope,-0.40784808748176654,1.0042333227148508,-0.41054637063599186,1.0046930316485698
S8,GazeGL,Ope,Bernoulli Slope,0.6039894154549221,1.007548881274807,0.5623585509362655,1.0070122501365293
S8,GazeGL,Ope,Beta Slope,-0.3632519546821885,1.007548881274807,-0.36507486700825625,1.0070122501365293
S8,GazeGL,Con,Bernoulli Slope,1.46237631253589,1.0074295132781548,1.4547118304525612,1.0058857675947313
S8,GazeGL,Con,Beta Slope,-0.40613478713516016,1.0074295132781548,-0.4057913974651917,1.0058857675947313
S8,GazeFH,Agr,Bernoulli Slope,3.5325008155415745,1.0060290158960974,3.7479023439181804,1.007375402880704
S8,GazeFH,Agr,Beta Slope,-0.41428248162804143,1.0060290158960974,-0.424977656013402,1.007375402880704
S8,GazeFH,Neu,Bernoulli Slope,6.616149113414771,1.0035962830999252,10.508685017459237,1.0056580068785472
S8,GazeFH,Neu,Beta Slope,-0.42373030637544884,1.0035962830999252,-0.43266084729983184,1.0056580068785472
S8,GazeFH,Ext,Bernoulli Slope,1.2480967275476391,1.0062825293379796,1.2243286033652068,1.0097046853945193
S8,GazeFH,Ext,Beta Slope,-0.3517032006981936,1.0062825293379796,-0.3618161997292873,1.0097046853945193
S8,GazeFH,Ope,Bernoulli Slope,2.963469855027772,1.0073230644647495,3.066198511203418,1.0119023849044095
S8,GazeFH,Ope,Beta Slope,-0.30795232468937694,1.0073230644647495,-0.31367327159931724,1.0119023849044095
S8,GazeFH,Con,Bernoulli Slope,2.3760245774094755,1.0058701871291162,2.426198268157251,1.0085676454071
S8,GazeFH,Con,Beta Slope,-0.4578141097527113,1.0058701871291162,-0.4698667231402862,1.0085676454071
S8,GazeEB,Agr,Bernoulli Slope,3.527038843051379,1.003871935453391,3.7903902508180187,1.01235725389943
S8,GazeEB,Agr,Beta Slope,-0.12394824376371542,1.003871935453391,-0.12711965278492743,1.01235725389943
S8,GazeEB,Neu,Bernoulli Slope,6.432221709248358,1.0057022667924962,10.574386660622093,1.0164303180313465
S8,GazeEB,Neu,Beta Slope,-0.11817385935311614,1.0057022667924962,-0.12135825605392686,1.0164303180313465
S8,GazeEB,Ext,Bernoulli Slope,6.136830593818827,1.0066081720211493,9.571812668960112,1.0058183525407394
S8,GazeEB,Ext,Beta Slope,0.04531622552567937,1.0066081720211493,0.040904544530027946,1.0058183525407394
S8,GazeEB,Ope,Bernoulli Slope,3.4537848981482377,1.0043621249344323,3.75397021726071,1.0072641263181192
S8,GazeEB,Ope,Beta Slope,-0.012059732646332241,1.0043621249344323,-0.013574835816377716,1.0072641263181192
S8,GazeEB,Con,Bernoulli Slope,6.2616590111533394,1.0044626917465915,10.023832240320273,1.0072203778531748
S8,GazeEB,Con,Beta Slope,-0.1947291426509861,1.0044626917465915,-0.19502175338435007,1.0072203778531748
S8,GazeEY,Agr,Bernoulli Slope,1.8248625238780483,1.0083909817492185,1.8671410966186088,1.0047712433803335
S8,GazeEY,Agr,Beta Slope,-0.3959415344218037,1.0083909817492185,-0.39456107988655886,1.0047712433803335
S8,GazeEY,Neu,Bernoulli Slope,3.2919165100571406,1.008144497001789,3.454633618765921,1.0057654344878533
S8,GazeEY,Neu,Beta Slope,-0.4627061266748595,1.008144497001789,-0.46305784235257025,1.0057654344878533
S8,GazeEY,Ext,Bernoulli Slope,8.62041911469701,1.0134563575593305,15.30962233247435,1.0061517613518567
S8,GazeEY,Ext,Beta Slope,-0.43499291200849777,1.0134563575593305,-0.4371940322871259,1.0061517613518567
S8,GazeEY,Ope,Bernoulli Slope,3.4413222242943693,1.0135069613691234,3.5553602547919727,1.0045718474944672
S8,GazeEY,Ope,Beta Slope,-0.34782870007148053,1.0135069613691234,-0.35123984713219786,1.0045718474944672
S8,GazeEY,Con,Bernoulli Slope,1.5415028738041314,1.0130452535613357,1.5330667652496426,1.0062344034964985
S8,GazeEY,Con,Beta Slope,-0.5692894656927135,1.0130452535613357,-0.5689046293923875,1.0062344034964985
S8,GazeNO,Agr,Bernoulli Slope,-0.02744179650911076,1.0169484848318908,-0.0775802330100814,1.014417688136467
S8,GazeNO,Agr,Beta Slope,-0.6053542066137084,1.0169484848318908,-0.6190490771025972,1.014417688136467
S8,GazeNO,Neu,Bernoulli Slope,0.47069612176475106,1.0050911399179925,0.46870550461914406,1.0079045428901614
S8,GazeNO,Neu,Beta Slope,-0.5409582034358501,1.0050911399179925,-0.557235304917454,1.0079045428901614
S8,GazeNO,Ext,Bernoulli Slope,0.23514996697325288,1.0052576007901224,0.21051680837439307,1.0051354371453718
S8,GazeNO,Ext,Beta Slope,-0.6023916943347858,1.0052576007901224,-0.610845443502077,1.0051354371453718
S8,GazeNO,Ope,Bernoulli Slope,0.27366100608300364,1.0111334208299316,0.25362016406126625,1.0083792310063384
S8,GazeNO,Ope,Beta Slope,-0.6181303016705738,1.0111334208299316,-0.6316064247534472,1.0083792310063384
S8,GazeNO,Con,Bernoulli Slope,0.4874772398772598,1.0060575716514812,0.4940157749254179,1.0038509725473224
S8,GazeNO,Con,Beta Slope,-0.5428439681088888,1.0060575716514812,-0.5569436865326235,1.0038509725473224
S8,GazeMO,Agr,Bernoulli Slope,0.3293611970572092,1.0061173917974402,0.3306192576168284,1.0041603665818948
S8,GazeMO,Agr,Beta Slope,-0.17643494868677106,1.0061173917974402,-0.1940509628946904,1.0041603665818948
S8,GazeMO,Neu,Bernoulli Slope,0.5753346280045304,1.0057124639332784,0.6023438744589136,1.0093976530684867
S8,GazeMO,Neu,Beta Slope,-0.18413899829139357,1.0057124639332784,-0.20006015917165476,1.0093976530684867
S8,GazeMO,Ext,Bernoulli Slope,0.44141703548900046,1.0068450345186293,0.44333724418273374,1.0093654638420424
S8,GazeMO,Ext,Beta Slope,-0.036099302599893024,1.0068450345186293,-0.024232175897669017,1.0093654638420424
S8,GazeMO,Ope,Bernoulli Slope,0.11430674807399523,1.0049339358786011,0.11732495448361538,1.0131396968238706
S8,GazeMO,Ope,Beta Slope,0.06993285696940213,1.0049339358786011,0.079168525208037,1.0131396968238706
S8,GazeMO,Con,Bernoulli Slope,0.5462495916179134,1.002897072284946,0.5525887473815019,1.0027051178328206
S8,GazeMO,Con,Beta Slope,0.005223475394752991,1.002897072284946,-0.0099758770122898,1.0027051178328206
S12,GazeGL,Agr,Bernoulli Slope,-1.5440829801978997,1.0032975119867396,-1.6044282558380851,1.0029789560870053
S12,GazeGL,Agr,Beta Slope,-0.44314476212782156,1.0032975119867396,-0.44412118298222025,1.0029789560870053
S12,GazeGL,Neu,Bernoulli Slope,-1.29323628103036,1.0144052704546869,-1.3593371880051468,1.0016083749859668
S12,GazeGL,Neu,Beta Slope,-0.5346755094834421,1.0144052704546869,-0.53442999533393,1.0016083749859668
S12,GazeGL,Ext,Bernoulli Slope,-1.0509594481540117,1.0038720963006644,-1.1131551755831566,1.0050398244067826
S12,GazeGL,Ext,Beta Slope,-0.600310250109472,1.0038720963006644,-0.6001775038034407,1.0050398244067826
S12,GazeGL,Ope,Bernoulli Slope,-1.9018008240253117,1.004694824869321,-2.085716226557285,1.0036194334326005
S12,GazeGL,Ope,Beta Slope,-0.5423548592193903,1.004694824869321,-0.5413907610640804,1.0036194334326005
S12,GazeGL,Con,Bernoulli Slope,-2.0171694827297912,1.0052031111545547,-2.2127850804465345,1.0059048061324847
S12,GazeGL,Con,Beta Slope,-0.6294848536620637,1.0052031111545547,-0.6269675267766075,1.0059048061324847
S12,GazeFH,Agr,Bernoulli Slope,5.614653609208752,1.003831416571609,9.908797118775453,1.005622315364017
S12,GazeFH,Agr,Beta Slope,-0.31947644545005843,1.003831416571609,-0.32535382019798725,1.005622315364017
S12,GazeFH,Neu,Bernoulli Slope,3.119677022278643,1.0053808627265448,3.2749889937828702,1.0063921917188683
S12,GazeFH,Neu,Beta Slope,-0.37822237756734095,1.0053808627265448,-0.38776148706791147,1.0063921917188683
S12,GazeFH,Ext,Bernoulli Slope,6.002041321874252,1.0036701207477259,9.644698008101413,1.0132123138459408
S12,GazeFH,Ext,Beta Slope,-0.2634428557840275,1.0036701207477259,-0.27037941223626266,1.0132123138459408
S12,GazeFH,Ope,Bernoulli Slope,1.449852941132006,1.0135867418977595,1.4680460781638422,1.0051168945259799
S12,GazeFH,Ope,Beta Slope,-0.29923849210799075,1.0135867418977595,-0.30805197462332473,1.0051168945259799
S12,GazeFH,Con,Bernoulli Slope,6.392208164076879,1.006889287297927,11.55583412428943,1.0083491366797999
S12,GazeFH,Con,Beta Slope,-0.34470422585880023,1.006889287297927,-0.35376557287442517,1.0083491366797999
S12,GazeEB,Agr,Bernoulli Slope,1.859787193355813,1.0166103037873706,1.558529371031042,1.0446165584627791
S12,GazeEB,Agr,Beta Slope,-0.25312301783807595,1.0166103037873706,-0.25359061391247334,1.0446165584627791
S12,GazeEB,Neu,Bernoulli Slope,5.229558161143917,1.005357457870427,8.962925490361389,1.0104473618799035
S12,GazeEB,Neu,Beta Slope,-0.3829874172453798,1.005357457870427,-0.3919067923564808,1.0104473618799035
S12,GazeEB,Ext,Bernoulli Slope,5.3096231371638085,1.0126641095343534,8.842844924537086,1.011067979381217
S12,GazeEB,Ext,Beta Slope,-0.132808110048114,1.0126641095343534,-0.13691721514863936,1.011067979381217
S12,GazeEB,Ope,Bernoulli Slope,5.351731259044198,1.0065197889995041,8.535514738762677,1.0037281034448284
S12,GazeEB,Ope,Beta Slope,-0.09849638597964988,1.0065197889995041,-0.10077358476851928,1.0037281034448284
S12,GazeEB,Con,Bernoulli Slope,5.183259619508219,1.0101608835646836,9.511596183514513,1.0312387339344415
S12,GazeEB,Con,Beta Slope,-0.32677499146297867,1.0101608835646836,-0.33206438144791117,1.0312387339344415
S12,GazeEY,Agr,Bernoulli Slope,-0.9229768714893849,1.012427062256318,-1.2907840586214134,1.017073724386349
S12,GazeEY,Agr,Beta Slope,-0.6159307651662485,1.012427062256318,-0.6166479927101218,1.017073724386349
S12,GazeEY,Neu,Bernoulli Slope,0.41696670173419315,1.004605829925602,0.3139451518006773,1.0086327858077753
S12,GazeEY,Neu,Beta Slope,-0.8144675979548245,1.004605829925602,-0.8177511632757158,1.0086327858077753
S12,GazeEY,Ext,Bernoulli Slope,-0.8904490802072588,1.008022745674154,-2.6237391666228302,1.0069475868665678
S12,GazeEY,Ext,Beta Slope,-0.6031306907603469,1.008022745674154,-0.6036879744036251,1.0069475868665678
